,size,material,color,sleeves,demand
1936,XL,cotton,white,short,medium
1937,M,polyester,black,long,medium
1938,XL,polyester,navy,long,medium
1939,M,cotton,black,long,medium
1940,XL,nylon,black,short,medium
1941,XXL,silk,green,short,low
1942,XXL,cotton,black,short,medium
1943,L,cotton,navy,long,medium
1944,L,polyester,white,long,high
1945,XXL,nylon,violet,long,low
1946,XXL,cotton,cream,long,medium
1947,XL,nylon,red,short,high
1948,L,linen,blue,short,high
1949,XXL,polyester,black,short,medium
1950,L,linen,cream,short,high
1951,S,cotton,cream,long,high
1952,XXL,polyester,black,short,medium
1953,L,polyester,white,long,high
1954,XS,cotton,green,short,high
1955,M,polyester,cream,long,medium
1956,L,linen,navy,short,high
1957,M,polyester,navy,short,high
1958,3XL,polyester,white,long,low
1959,L,nylon,black,long,medium
1960,XL,cotton,white,long,medium
1961,XXL,cotton,red,long,low
1962,3XL,nylon,white,short,low
1963,S,nylon,white,short,medium
1964,S,cotton,white,long,high
1965,XXL,polyester,cream,long,medium
1966,3XL,cotton,yellow,long,low
1967,L,polyester,cream,short,high
1968,XL,silk,red,long,low
1969,XS,silk,white,long,low
1970,S,polyester,orange,short,high
1971,XL,silk,navy,short,low
1972,L,polyester,red,long,medium
1973,S,linen,blue,long,high
1974,L,polyester,yellow,short,high
1975,XS,linen,green,short,high
1976,M,linen,black,long,medium
1977,S,polyester,black,short,medium
1978,XXL,polyester,cream,long,medium
1979,XXL,linen,cream,short,high
1980,L,cotton,navy,long,medium
1981,M,cotton,green,long,low
1982,L,linen,white,long,high
1983,XL,polyester,black,long,medium
1984,M,polyester,white,long,medium
1985,M,cotton,black,short,medium
1986,XS,nylon,blue,long,high
1987,M,polyester,cream,short,high
1988,XL,cotton,violet,long,low
1989,XS,cotton,red,long,medium
1990,S,linen,yellow,long,high
1991,XS,cotton,violet,long,medium
1992,M,nylon,white,long,medium
1993,3XL,nylon,violet,long,low
1994,M,linen,green,short,high
1995,L,linen,red,short,high
1996,3XL,silk,navy,long,low
1997,XS,cotton,orange,short,high
1998,M,nylon,red,short,high
1999,3XL,cotton,cream,long,low
2000,S,nylon,navy,short,high
2001,XXL,polyester,black,long,medium
2002,XL,nylon,blue,long,medium
2003,XL,polyester,green,long,medium
2004,M,silk,violet,long,low
2005,S,polyester,green,short,high
2006,M,nylon,white,short,medium
2007,3XL,nylon,white,long,low
2008,M,cotton,green,long,low
2009,XS,cotton,cream,long,medium
2010,XS,nylon,white,short,medium
2011,M,polyester,violet,long,medium
2012,XL,cotton,white,short,medium
2013,XXL,cotton,red,short,high
2014,L,nylon,cream,long,medium
2015,L,linen,navy,short,high
2016,M,polyester,cream,short,high
2017,M,polyester,navy,short,high
2018,L,polyester,violet,short,high
2019,3XL,cotton,yellow,short,medium
2020,XL,nylon,black,long,medium
2021,S,nylon,cream,short,high
2022,XXL,polyester,cream,short,high
2023,S,cotton,black,short,medium
2024,XL,polyester,red,short,high
2025,L,nylon,red,long,medium
2026,S,linen,yellow,long,high
2027,3XL,polyester,navy,short,high
2028,L,linen,orange,short,high
2029,L,polyester,orange,short,high
2030,M,polyester,green,short,high
2031,S,silk,cream,short,medium
2032,L,silk,navy,long,low
2033,XL,nylon,blue,long,medium
2034,XXL,nylon,red,short,high
2035,XL,linen,yellow,short,high
2036,XS,polyester,green,long,medium
2037,L,cotton,orange,short,high
2038,3XL,polyester,blue,long,low
2039,XL,cotton,white,short,medium
2040,L,cotton,red,short,high
2041,M,polyester,black,long,medium
2042,S,cotton,yellow,short,high
2043,3XL,linen,navy,long,medium
2044,M,nylon,orange,long,medium
2045,M,linen,cream,short,high
2046,L,linen,black,short,medium
2047,L,linen,black,long,medium
2048,XS,nylon,blue,long,high
2049,L,polyester,white,long,high
2050,M,polyester,blue,short,high
2051,XL,cotton,orange,short,high
2052,XXL,cotton,blue,short,high
2053,M,cotton,black,short,medium
2054,S,polyester,yellow,short,high
2055,3XL,linen,violet,short,high
2056,L,cotton,yellow,long,medium
2057,S,nylon,navy,short,high
2058,S,linen,violet,long,high
2059,XXL,linen,orange,long,medium
2060,M,cotton,blue,long,medium
2061,M,cotton,black,long,medium
2062,3XL,silk,yellow,short,low
2063,L,cotton,navy,long,medium
2064,XS,nylon,navy,long,high
2065,S,cotton,violet,short,high
2066,XL,polyester,black,short,medium
2067,XS,silk,cream,short,medium
2068,XS,cotton,white,short,high
2069,S,cotton,red,short,high
2070,3XL,linen,navy,long,medium
2071,XXL,silk,orange,short,low
2072,S,linen,green,long,high
2073,L,linen,cream,long,high
2074,M,linen,blue,long,high
2075,L,polyester,black,long,medium
2076,L,cotton,red,long,medium
2077,S,polyester,black,short,medium
2078,L,nylon,red,short,high
2079,L,nylon,black,long,medium
2080,S,linen,red,short,high
2081,3XL,linen,yellow,long,medium
2082,L,polyester,orange,short,high
2083,XL,nylon,yellow,short,high
2084,3XL,nylon,blue,short,high
2085,L,silk,cream,long,low
2086,XL,linen,yellow,short,high
2087,XXL,cotton,navy,long,medium
2088,XXL,cotton,black,short,medium
2089,S,cotton,navy,short,high
2090,XXL,silk,navy,long,low
2091,L,polyester,black,long,medium
2092,XXL,cotton,black,short,medium
2093,M,nylon,blue,short,high
2094,XL,nylon,black,short,medium
2095,XS,linen,black,long,low
2096,3XL,polyester,yellow,long,low
2097,L,cotton,black,long,medium
2098,XXL,cotton,black,short,medium
2099,M,polyester,blue,short,high
2100,L,cotton,cream,long,medium
2101,M,linen,orange,long,medium
2102,L,polyester,orange,long,medium
2103,L,nylon,blue,short,high
2104,M,cotton,white,short,high
2105,XL,linen,cream,short,high
2106,M,polyester,navy,long,medium
2107,L,polyester,yellow,long,medium
2108,XS,nylon,orange,long,medium
2109,L,polyester,white,long,high
2110,3XL,linen,red,long,medium
2111,S,polyester,white,short,medium
2112,M,nylon,red,short,high
2113,XL,polyester,violet,short,high
2114,L,polyester,black,short,medium
2115,3XL,polyester,white,long,low
2116,L,cotton,black,long,medium
2117,XL,linen,red,long,high
2118,L,cotton,black,long,medium
2119,L,linen,red,short,high
2120,L,polyester,black,long,medium
2121,L,linen,red,long,high
2122,L,polyester,orange,short,high
2123,L,nylon,black,long,medium
2124,L,polyester,white,long,high
2125,S,linen,cream,short,high
2126,L,nylon,violet,short,high
2127,S,cotton,white,long,high
2128,3XL,polyester,violet,short,medium
2129,L,polyester,blue,long,medium
2130,S,nylon,violet,short,high
2131,XS,cotton,green,long,medium
2132,XXL,polyester,navy,long,medium
2133,3XL,polyester,white,long,low
2134,3XL,nylon,red,long,low
2135,L,polyester,cream,short,high
2136,XL,cotton,black,long,medium
2137,L,linen,white,short,high
2138,M,nylon,white,short,medium
2139,XS,linen,white,long,high
2140,S,polyester,red,long,high
2141,L,polyester,violet,short,high
2142,L,nylon,green,short,high
2143,XXL,linen,blue,long,medium
2144,S,polyester,blue,long,high
2145,XL,polyester,red,long,medium
2146,XXL,polyester,cream,long,medium
2147,3XL,nylon,navy,long,medium
2148,M,nylon,white,long,medium
2149,L,polyester,red,long,medium
2150,XL,nylon,black,short,medium
2151,M,linen,white,long,high
2152,L,cotton,black,short,medium
2153,L,linen,navy,long,high
2154,L,nylon,blue,long,medium
2155,S,polyester,black,long,medium
2156,L,linen,black,long,medium
2157,M,polyester,red,long,medium
2158,S,polyester,blue,short,high
2159,S,cotton,black,long,medium
2160,XL,polyester,orange,long,medium
2161,S,polyester,white,long,medium
2162,3XL,polyester,navy,short,high
2163,XL,nylon,navy,short,high
2164,S,silk,navy,short,medium
2165,M,nylon,black,short,medium
2166,XL,nylon,black,short,medium
2167,L,polyester,blue,short,high
2168,XXL,nylon,black,short,medium
2169,L,polyester,white,short,high
2170,L,cotton,yellow,short,high
2171,L,cotton,orange,long,medium
2172,XXL,cotton,yellow,short,medium
2173,L,cotton,red,long,medium
2174,M,cotton,black,long,medium
2175,S,linen,yellow,long,high
2176,L,cotton,violet,short,high
2177,M,nylon,red,long,medium
2178,L,polyester,navy,long,medium
2179,3XL,linen,white,short,low
2180,L,linen,blue,short,high
2181,M,silk,cream,short,low
2182,3XL,linen,navy,short,high
2183,S,nylon,navy,long,high
2184,XL,cotton,green,long,low
2185,XXL,linen,red,short,high
2186,M,cotton,white,short,high
2187,3XL,polyester,white,long,low
2188,L,nylon,red,short,high
2189,3XL,polyester,cream,long,medium
2190,L,linen,green,short,high
2191,M,polyester,cream,long,medium
2192,XS,polyester,orange,short,high
2193,L,nylon,white,long,high
2194,XXL,nylon,navy,long,medium
2195,3XL,cotton,white,short,medium
2196,L,linen,white,short,high
2197,M,nylon,green,short,high
2198,L,nylon,black,long,medium
2199,S,nylon,orange,long,high
2200,XXL,cotton,navy,long,medium
2201,S,cotton,navy,long,high
2202,XS,nylon,cream,short,high
2203,3XL,polyester,green,short,medium
2204,XL,polyester,cream,long,medium
2205,3XL,nylon,yellow,short,medium
2206,L,polyester,cream,short,high
2207,3XL,polyester,white,short,low
2208,L,linen,yellow,long,high
2209,M,nylon,navy,short,high
2210,XXL,polyester,red,long,medium
2211,3XL,nylon,navy,short,high
2212,XXL,silk,black,long,low
2213,L,nylon,orange,short,high
2214,XL,polyester,black,long,medium
2215,XS,cotton,white,long,high
2216,XL,polyester,navy,short,high
2217,S,cotton,cream,short,high
2218,L,linen,blue,long,high
2219,XXL,polyester,blue,long,medium
2220,XL,linen,red,short,high
2221,M,cotton,cream,long,medium
2222,3XL,nylon,white,short,low
2223,M,nylon,black,long,medium
2224,XS,nylon,yellow,long,medium
2225,S,silk,black,short,low
2226,XXL,cotton,red,short,high
2227,XL,polyester,blue,short,high
2228,M,cotton,black,short,medium
2229,XL,linen,navy,short,high
2230,L,polyester,black,long,medium
2231,XS,nylon,orange,long,medium
2232,L,cotton,black,long,medium
2233,3XL,polyester,white,short,low
2234,XL,polyester,violet,short,high
2235,M,silk,white,short,low
2236,L,nylon,navy,long,medium
2237,M,nylon,white,long,medium
2238,3XL,silk,blue,long,low
2239,XXL,nylon,red,short,high
2240,XS,cotton,black,short,medium
2241,L,nylon,black,short,medium
2242,XS,linen,white,long,high
2243,XL,cotton,navy,short,high
2244,M,nylon,cream,short,high
2245,S,cotton,orange,long,medium
2246,M,nylon,orange,short,high
2247,XL,linen,black,short,medium
2248,XXL,polyester,blue,short,high
2249,XXL,nylon,blue,long,medium
2250,XS,linen,violet,short,high
2251,L,nylon,white,long,high
2252,S,nylon,white,long,medium
2253,XXL,cotton,violet,long,low
2254,M,nylon,white,short,medium
2255,XXL,nylon,blue,long,medium
2256,XS,linen,black,long,low
2257,L,nylon,navy,long,medium
2258,L,nylon,yellow,long,medium
2259,S,silk,white,short,low
2260,L,polyester,navy,short,high
2261,XL,cotton,violet,long,low
2262,L,nylon,white,short,high
2263,XS,nylon,violet,long,medium
2264,3XL,nylon,navy,long,medium
2265,XXL,nylon,white,short,low
2266,S,cotton,white,long,high
2267,XL,cotton,violet,long,low
2268,3XL,polyester,orange,short,medium
2269,3XL,cotton,red,long,low
2270,XXL,polyester,navy,short,high
2271,L,cotton,black,long,medium
2272,3XL,linen,navy,short,high
2273,M,polyester,black,short,medium
2274,L,polyester,white,long,high
2275,L,nylon,green,long,medium
2276,S,polyester,green,short,high
2277,L,nylon,red,long,medium
2278,XS,cotton,cream,long,medium
2279,XS,polyester,white,long,medium
2280,3XL,polyester,blue,short,high
2281,S,nylon,navy,short,high
2282,XXL,nylon,white,short,low
2283,S,polyester,cream,long,high
2284,XS,linen,violet,short,high
2285,S,cotton,white,long,high
2286,3XL,polyester,green,long,low
2287,L,polyester,blue,long,medium
2288,S,linen,yellow,long,high
2289,3XL,nylon,orange,long,low
2290,L,linen,blue,short,high
2291,M,silk,cream,long,low
2292,3XL,silk,white,short,low
2293,XS,polyester,cream,long,high
2294,XS,nylon,navy,long,high
2295,M,nylon,white,long,medium
2296,XS,polyester,green,long,medium
2297,L,polyester,black,short,medium
2298,XL,linen,white,long,medium
2299,XXL,linen,cream,long,medium
2300,3XL,polyester,blue,short,high
2301,XXL,nylon,black,short,medium
2302,S,nylon,black,short,medium
2303,S,linen,black,short,medium
2304,L,silk,blue,short,low
2305,L,cotton,orange,short,high
2306,S,nylon,cream,short,high
2307,L,polyester,navy,short,high
2308,M,nylon,yellow,long,medium
2309,M,nylon,navy,long,medium
2310,S,polyester,cream,short,high
2311,XXL,polyester,navy,long,medium
2312,S,cotton,orange,short,high
2313,S,linen,cream,long,high
2314,S,polyester,navy,short,high
2315,XL,polyester,navy,short,high
2316,M,nylon,blue,long,medium
2317,M,polyester,white,short,medium
2318,XXL,linen,violet,short,high
2319,M,cotton,cream,long,medium
2320,XL,polyester,yellow,long,medium
2321,S,silk,red,short,medium
2322,L,polyester,black,long,medium
2323,XL,polyester,yellow,long,medium
2324,XL,nylon,black,long,medium
2325,XXL,linen,navy,long,medium
2326,XL,polyester,green,long,medium
2327,L,nylon,white,long,high
2328,M,nylon,white,short,medium
2329,XXL,nylon,navy,long,medium
2330,XS,cotton,blue,short,high
2331,L,nylon,white,short,high
2332,M,nylon,white,short,medium
2333,XL,nylon,black,long,medium
2334,XL,polyester,cream,short,high
2335,S,cotton,navy,long,high
2336,XXL,nylon,navy,short,high
2337,S,cotton,white,long,high
2338,L,silk,navy,short,low
2339,XS,polyester,violet,short,high
2340,M,nylon,white,long,medium
2341,XS,nylon,red,short,high
2342,XS,nylon,cream,long,high
2343,XS,polyester,red,long,high
2344,M,silk,blue,short,low
2345,XL,polyester,violet,short,high
2346,XS,cotton,cream,short,high
2347,L,nylon,navy,long,medium
2348,L,nylon,navy,long,medium
2349,L,polyester,black,long,medium
2350,XXL,cotton,navy,long,medium
2351,XL,nylon,blue,long,medium
2352,XL,silk,navy,long,low
2353,M,linen,black,long,medium
2354,XS,cotton,navy,long,medium
2355,M,nylon,blue,long,medium
2356,L,cotton,violet,long,medium
2357,M,polyester,navy,long,medium
2358,L,polyester,white,short,high
2359,L,linen,navy,long,high
2360,M,polyester,white,short,medium
2361,3XL,cotton,white,long,medium
2362,S,polyester,red,long,high
2363,3XL,silk,cream,long,low
2364,3XL,polyester,green,short,medium
2365,S,nylon,black,long,medium
2366,L,cotton,cream,short,high
2367,XXL,nylon,cream,short,high
2368,M,nylon,orange,short,high
2369,XL,linen,cream,short,high
2370,XXL,cotton,yellow,short,medium
2371,XL,nylon,black,short,medium
2372,M,linen,cream,long,high
2373,3XL,nylon,navy,long,medium
2374,L,nylon,white,long,high
2375,XXL,linen,blue,short,high
2376,L,silk,violet,long,low
2377,XXL,nylon,orange,long,low
2378,3XL,polyester,red,short,high
2379,L,cotton,blue,long,medium
2380,3XL,cotton,orange,long,low
2381,L,silk,cream,long,low
2382,XL,polyester,cream,long,medium
2383,L,polyester,white,short,high
2384,XXL,polyester,yellow,short,high
2385,XXL,nylon,navy,short,high
2386,M,nylon,red,long,medium
2387,L,polyester,yellow,short,high
2388,XS,nylon,black,long,medium
2389,M,nylon,black,short,medium
2390,XL,nylon,blue,long,medium
2391,M,nylon,navy,short,high
2392,L,cotton,cream,short,high
2393,XL,cotton,red,long,medium
2394,XS,silk,white,short,low
2395,XS,nylon,cream,long,high
2396,L,polyester,white,long,high
2397,XL,cotton,navy,long,medium
2398,3XL,cotton,black,long,medium
2399,XL,silk,green,long,low
2400,XL,nylon,white,long,low
2401,XXL,nylon,violet,short,high
2402,S,nylon,white,long,medium
2403,M,linen,violet,short,high
2404,S,linen,white,long,high
2405,M,polyester,blue,short,high
2406,XS,nylon,black,short,medium
2407,XL,polyester,navy,short,high
2408,XXL,nylon,violet,long,low
2409,L,polyester,navy,short,high
2410,XS,cotton,white,long,high
2411,XXL,cotton,navy,short,high
2412,S,nylon,cream,long,high
2413,M,linen,green,long,medium
2414,XXL,nylon,black,long,medium
2415,L,nylon,red,long,medium
2416,M,cotton,violet,long,low
2417,M,nylon,yellow,short,high
2418,XS,nylon,red,short,high
2419,M,cotton,black,long,medium
2420,M,nylon,black,long,medium
2421,3XL,nylon,navy,long,medium
2422,M,polyester,blue,long,medium
2423,L,nylon,red,long,medium
2424,XL,nylon,navy,long,medium
2425,M,nylon,cream,long,medium
2426,XL,polyester,orange,long,medium
2427,XL,nylon,orange,long,medium
2428,XL,nylon,white,short,low
2429,XS,nylon,blue,long,high
2430,S,polyester,green,long,medium
2431,XXL,polyester,black,short,medium
2432,XXL,polyester,orange,short,high
2433,XL,cotton,cream,long,medium
2434,L,cotton,black,short,medium
2435,XL,polyester,violet,long,medium
2436,M,cotton,cream,long,medium
2437,XXL,polyester,red,long,medium
2438,XL,cotton,orange,long,low
2439,L,cotton,orange,short,high
2440,XS,nylon,green,short,high
2441,XXL,linen,black,short,medium
2442,S,cotton,cream,short,high
2443,XL,polyester,white,long,low
2444,M,linen,white,short,high
2445,M,cotton,blue,short,high
2446,M,cotton,navy,long,medium
2447,M,silk,yellow,short,low
2448,L,cotton,blue,long,medium
2449,XS,polyester,cream,long,high
2450,3XL,nylon,black,short,medium
2451,M,nylon,cream,short,high
2452,S,polyester,cream,long,high
2453,XL,silk,navy,long,low
2454,M,polyester,black,long,medium
2455,M,linen,red,short,high
2456,S,polyester,white,long,medium
2457,M,cotton,black,short,medium
2458,3XL,linen,white,short,low
2459,L,nylon,blue,short,high
2460,XL,nylon,yellow,short,high
2461,3XL,polyester,violet,long,low
2462,S,silk,navy,long,medium
2463,S,linen,navy,short,high
2464,XS,silk,blue,short,medium
2465,XL,cotton,black,short,medium
2466,S,cotton,navy,long,high
2467,S,polyester,yellow,short,high
2468,M,nylon,navy,long,medium
2469,L,linen,black,long,medium
2470,XL,nylon,violet,short,high
2471,L,cotton,yellow,long,medium
2472,XL,cotton,violet,long,low
2473,L,cotton,cream,short,high
2474,XL,nylon,white,short,low
2475,XXL,polyester,white,short,low
2476,XL,linen,cream,long,high
2477,XXL,nylon,orange,long,low
2478,L,polyester,black,short,medium
2479,3XL,polyester,red,short,high
2480,L,linen,violet,long,high
2481,L,nylon,black,short,medium
2482,XXL,silk,violet,short,low
2483,XS,nylon,navy,long,high
2484,3XL,cotton,white,short,medium
2485,L,cotton,red,short,high
2486,S,linen,violet,long,high
2487,L,polyester,red,short,high
2488,XS,linen,green,long,high
2489,L,nylon,cream,short,high
2490,XXL,nylon,blue,short,high
2491,S,polyester,yellow,short,high
2492,L,cotton,yellow,long,medium
2493,XXL,linen,black,long,medium
2494,S,linen,black,short,medium
2495,L,linen,white,short,high
2496,L,polyester,yellow,short,high
2497,XL,nylon,orange,long,medium
2498,XL,cotton,blue,short,high
2499,XL,linen,orange,short,high
2500,XS,polyester,white,short,medium
2501,XL,polyester,green,short,high
2502,S,polyester,violet,short,high
2503,XL,polyester,violet,short,high
2504,S,polyester,white,long,medium
2505,XS,cotton,cream,long,medium
2506,S,linen,navy,short,high
2507,L,cotton,cream,long,medium
2508,S,cotton,black,short,medium
2509,3XL,nylon,orange,long,low
2510,L,nylon,white,short,high
2511,L,nylon,white,short,high
2512,XL,nylon,green,short,high
2513,M,linen,white,long,high
2514,S,nylon,yellow,long,high
2515,M,polyester,violet,long,medium
2516,S,polyester,navy,long,high
2517,S,polyester,white,short,medium
2518,XXL,cotton,violet,short,medium
2519,L,polyester,black,short,medium
2520,S,cotton,cream,long,high
2521,S,nylon,white,long,medium
2522,XS,nylon,blue,long,high
2523,L,linen,black,long,medium
2524,XXL,cotton,black,long,medium
2525,M,polyester,navy,long,medium
2526,S,linen,black,short,medium
2527,3XL,polyester,white,long,low
2528,M,silk,blue,long,low
2529,3XL,linen,black,long,low
2530,XXL,polyester,black,long,medium
2531,XL,nylon,black,short,medium
2532,S,silk,green,short,medium
2533,L,polyester,white,long,high
2534,XXL,polyester,blue,long,medium
2535,XL,nylon,white,long,low
2536,L,nylon,cream,short,high
2537,XL,linen,red,long,high
2538,L,linen,red,short,high
2539,S,linen,violet,short,high
2540,XS,nylon,white,long,medium
2541,XL,nylon,blue,short,high
2542,L,polyester,navy,short,high
2543,XS,nylon,yellow,short,high
2544,L,polyester,green,long,medium
2545,XXL,linen,navy,short,high
2546,XXL,nylon,red,short,high
2547,S,nylon,white,short,medium
2548,XL,cotton,blue,short,high
2549,XL,cotton,black,long,medium
2550,L,polyester,blue,short,high
2551,M,nylon,black,long,medium
2552,S,cotton,cream,short,high
2553,XS,polyester,cream,short,high
2554,XXL,polyester,black,short,medium
2555,3XL,cotton,black,long,medium
2556,XXL,nylon,black,long,medium
2557,XS,polyester,white,long,medium
2558,L,cotton,white,short,high
2559,M,polyester,white,long,medium
2560,3XL,nylon,white,short,low
2561,L,polyester,orange,long,medium
2562,XXL,polyester,white,long,low
2563,S,nylon,navy,long,high
2564,XL,nylon,cream,short,high
2565,S,nylon,orange,long,high
2566,XL,nylon,green,short,high
2567,S,cotton,white,long,high
2568,L,nylon,yellow,short,high
2569,3XL,linen,red,short,high
2570,L,linen,yellow,short,high
2571,XS,nylon,white,short,medium
2572,XXL,polyester,white,short,low
2573,L,nylon,blue,long,medium
2574,L,polyester,cream,short,high
2575,S,cotton,white,long,high
2576,3XL,polyester,red,long,low
2577,M,cotton,green,long,low
2578,L,polyester,navy,long,medium
2579,XXL,cotton,white,short,medium
2580,3XL,polyester,navy,long,medium
2581,3XL,cotton,red,long,low
2582,XL,nylon,green,long,medium
2583,XXL,nylon,red,long,medium
2584,M,nylon,black,long,medium
2585,L,cotton,violet,long,medium
2586,S,nylon,white,long,medium
2587,M,cotton,green,long,low
2588,3XL,nylon,blue,short,high
2589,XXL,nylon,black,long,medium
2590,XL,nylon,cream,long,medium
2591,M,cotton,violet,short,high
2592,XXL,nylon,violet,short,high
2593,L,polyester,cream,long,medium
2594,XS,nylon,violet,long,medium
2595,XL,cotton,red,short,high
2596,S,cotton,red,short,high
2597,XL,cotton,blue,long,medium
2598,S,nylon,navy,short,high
2599,XL,nylon,yellow,long,medium
2600,M,nylon,blue,short,high
2601,M,nylon,black,short,medium
2602,XXL,nylon,navy,short,high
2603,XXL,nylon,navy,long,medium
2604,S,polyester,blue,short,high
2605,XS,cotton,violet,short,high
2606,XXL,linen,black,short,medium
2607,XL,nylon,orange,long,medium
2608,XL,linen,violet,long,medium
2609,XXL,cotton,cream,short,high
2610,XL,polyester,cream,long,medium
2611,L,polyester,green,short,high
2612,XXL,cotton,white,long,medium
2613,L,nylon,violet,short,high
2614,L,polyester,white,long,high
2615,M,nylon,navy,long,medium
2616,L,nylon,red,long,medium
2617,M,silk,black,long,low
2618,S,nylon,white,short,medium
2619,XL,polyester,red,long,medium
2620,XL,nylon,black,long,medium
2621,L,linen,black,short,medium
2622,3XL,cotton,navy,long,low
2623,L,cotton,navy,long,medium
2624,XS,polyester,white,short,medium
2625,L,nylon,red,short,high
2626,S,cotton,violet,long,medium
2627,3XL,polyester,green,long,low
2628,L,cotton,green,long,medium
2629,L,silk,navy,short,low
2630,XL,nylon,blue,short,high
2631,XL,nylon,violet,short,high
2632,3XL,nylon,violet,long,low
2633,XXL,silk,white,short,low
2634,L,polyester,green,long,medium
2635,L,nylon,white,short,high
2636,XL,nylon,blue,long,medium
2637,XL,linen,green,long,medium
2638,L,polyester,black,short,medium
2639,3XL,nylon,navy,short,high
2640,M,cotton,white,long,high
2641,L,linen,white,long,high
2642,S,polyester,black,short,medium
2643,3XL,cotton,black,long,medium
2644,XL,nylon,yellow,short,high
2645,S,linen,cream,short,high
2646,XXL,nylon,green,long,low
2647,M,cotton,yellow,short,high
2648,XS,cotton,green,long,medium
2649,L,linen,black,long,medium
2650,L,linen,yellow,short,high
2651,L,nylon,white,short,high
2652,XXL,cotton,red,short,high
2653,L,nylon,black,long,medium
2654,S,linen,black,short,medium
2655,L,nylon,red,long,medium
2656,S,polyester,violet,long,high
2657,XXL,nylon,navy,short,high
2658,XL,nylon,green,long,medium
2659,XL,linen,blue,short,high
2660,S,linen,white,short,high
2661,3XL,polyester,yellow,short,medium
2662,M,cotton,white,short,high
2663,L,linen,yellow,long,high
2664,XL,nylon,violet,long,medium
2665,L,nylon,white,short,high
2666,L,cotton,black,long,medium
2667,L,linen,violet,long,high
2668,M,nylon,white,short,medium
2669,XXL,cotton,navy,long,medium
2670,XL,cotton,white,short,medium
2671,L,polyester,cream,long,medium
2672,XS,polyester,violet,short,high
2673,L,cotton,white,short,high
2674,XXL,polyester,orange,long,low
2675,S,linen,cream,short,high
2676,XXL,cotton,green,long,low
2677,XS,nylon,black,short,medium
2678,L,nylon,white,long,high
2679,XS,nylon,red,long,high
2680,M,nylon,cream,short,high
2681,3XL,cotton,black,short,medium
2682,XL,cotton,navy,long,medium
2683,XL,linen,blue,short,high
2684,XL,polyester,black,long,medium
2685,XL,cotton,white,long,medium
2686,XXL,linen,orange,long,medium
2687,M,nylon,white,short,medium
2688,M,polyester,red,long,medium
2689,XS,polyester,cream,short,high
2690,S,cotton,orange,long,medium
2691,S,cotton,violet,long,medium
2692,XL,polyester,navy,long,medium
2693,XL,cotton,white,short,medium
2694,M,cotton,black,long,medium
2695,XL,polyester,blue,long,medium
2696,L,polyester,violet,long,medium
2697,XXL,linen,navy,short,high
2698,XXL,nylon,violet,short,high
2699,XS,nylon,cream,short,high
2700,M,nylon,white,long,medium
2701,XS,linen,white,short,high
2702,XS,nylon,white,long,medium
2703,XL,polyester,black,short,medium
2704,XL,cotton,black,short,medium
2705,3XL,cotton,green,short,medium
2706,XXL,nylon,black,long,medium
2707,XL,cotton,white,short,medium
2708,S,cotton,orange,short,high
2709,L,linen,white,long,high
2710,L,polyester,cream,short,high
2711,L,linen,white,short,high
2712,M,nylon,white,short,medium
2713,3XL,cotton,blue,short,medium
2714,3XL,nylon,red,long,low
2715,M,nylon,cream,short,high
2716,S,polyester,cream,long,high
2717,L,linen,orange,short,high
2718,L,polyester,navy,short,high
2719,L,nylon,black,long,medium
2720,S,polyester,blue,long,high
2721,XL,cotton,white,long,medium
2722,XS,polyester,cream,short,high
2723,XS,polyester,orange,long,medium
2724,XXL,cotton,white,long,medium
2725,XL,nylon,black,short,medium
2726,L,nylon,red,long,medium
2727,L,nylon,navy,short,high
2728,XXL,nylon,white,short,low
2729,M,nylon,blue,long,medium
2730,XXL,polyester,red,long,medium
2731,XXL,cotton,red,long,low
2732,M,polyester,yellow,long,medium
2733,XS,cotton,orange,short,high
2734,XXL,linen,blue,short,high
2735,XL,linen,red,short,high
2736,XXL,linen,green,short,high
2737,XL,nylon,red,short,high
2738,XL,cotton,yellow,short,high
2739,M,polyester,black,short,medium
2740,3XL,cotton,navy,short,medium
2741,XXL,nylon,black,long,medium
2742,M,nylon,white,long,medium
2743,XL,cotton,blue,short,high
2744,3XL,nylon,blue,long,low
2745,L,polyester,cream,long,medium
2746,S,nylon,white,short,medium
2747,S,nylon,red,short,high
2748,XXL,nylon,yellow,short,high
2749,3XL,linen,blue,short,high
2750,XXL,polyester,red,short,high
2751,M,cotton,violet,long,low
2752,M,silk,black,long,low
2753,L,polyester,black,long,medium
2754,XXL,silk,navy,long,low
2755,XS,linen,white,short,high
2756,M,nylon,red,long,medium
2757,3XL,cotton,red,short,medium
2758,L,polyester,black,long,medium
2759,XL,nylon,green,short,high
2760,L,nylon,black,long,medium
2761,M,polyester,navy,short,high
2762,XS,cotton,red,short,high
2763,3XL,nylon,white,short,low
2764,M,cotton,violet,short,high
2765,XL,polyester,white,short,low
2766,M,polyester,black,long,medium
2767,L,linen,cream,long,high
2768,L,cotton,blue,long,medium
2769,XS,silk,green,long,low
2770,3XL,nylon,white,short,low
2771,M,linen,orange,long,medium
2772,M,silk,violet,long,low
2773,S,polyester,white,long,medium
2774,XL,nylon,orange,long,medium
2775,3XL,linen,black,long,low
2776,XL,cotton,white,long,medium
2777,3XL,polyester,black,short,medium
2778,M,nylon,cream,long,medium
2779,XXL,linen,cream,long,medium
2780,XXL,polyester,blue,long,medium
