,size,material,color,sleeves,demand
2534,S,linen,black,short,medium
2535,XS,nylon,orange,long,medium
2536,XL,cotton,navy,short,high
2537,XS,nylon,white,short,medium
2538,XXL,polyester,black,long,medium
2539,M,linen,red,long,high
2540,L,cotton,red,long,medium
2541,L,nylon,green,short,high
2542,XXL,polyester,green,short,high
2543,XXL,linen,white,long,medium
2544,L,nylon,black,short,high
2545,M,cotton,white,long,high
2546,L,silk,white,long,medium
2547,3XL,polyester,violet,long,low
2548,XXL,nylon,yellow,short,high
2549,XXL,cotton,black,short,medium
2550,3XL,nylon,cream,short,high
2551,XL,cotton,cream,long,medium
2552,S,polyester,navy,long,high
2553,L,linen,white,short,high
2554,S,nylon,white,short,medium
2555,XXL,nylon,navy,long,medium
2556,M,nylon,blue,long,medium
2557,L,silk,yellow,long,low
2558,XL,nylon,green,long,medium
2559,S,silk,yellow,short,medium
2560,XL,polyester,black,long,medium
2561,XL,nylon,green,long,medium
2562,L,linen,white,long,high
2563,XS,cotton,red,long,medium
2564,XS,nylon,blue,short,high
2565,3XL,nylon,white,long,low
2566,S,linen,red,short,high
2567,XXL,nylon,green,long,low
2568,XL,linen,black,short,medium
2569,XL,polyester,green,short,high
2570,M,cotton,white,long,high
2571,L,linen,black,long,medium
2572,M,nylon,orange,long,medium
2573,M,cotton,black,long,medium
2574,XL,linen,navy,short,high
2575,L,cotton,cream,short,high
2576,S,nylon,violet,long,high
2577,XXL,cotton,black,short,medium
2578,L,cotton,cream,long,medium
2579,XL,linen,red,long,high
2580,S,polyester,white,short,medium
2581,S,linen,red,short,high
2582,L,linen,blue,long,high
2583,L,nylon,black,short,high
2584,L,polyester,yellow,short,high
2585,XL,nylon,violet,short,high
2586,XXL,polyester,black,short,medium
2587,S,nylon,cream,long,high
2588,M,polyester,black,long,medium
2589,L,polyester,blue,short,high
2590,L,linen,black,short,medium
2591,XXL,linen,black,long,medium
2592,M,nylon,yellow,short,high
2593,L,cotton,blue,long,medium
2594,M,cotton,blue,short,high
2595,S,nylon,yellow,long,high
2596,L,nylon,green,short,high
2597,XS,silk,violet,long,medium
2598,S,cotton,cream,long,high
2599,XXL,polyester,white,long,low
2600,XL,nylon,black,long,medium
2601,XXL,linen,blue,long,medium
2602,M,nylon,red,short,high
2603,XL,cotton,white,short,medium
2604,S,polyester,white,short,medium
2605,M,nylon,red,long,medium
2606,M,linen,blue,short,high
2607,L,nylon,red,short,high
2608,XL,linen,red,short,high
2609,XL,cotton,orange,short,high
2610,XS,cotton,cream,long,high
2611,S,polyester,white,short,medium
2612,M,polyester,red,long,medium
2613,XL,nylon,white,short,low
2614,XL,polyester,white,short,low
2615,M,cotton,red,short,high
2616,XXL,cotton,navy,short,high
2617,XXL,nylon,black,long,medium
2618,XXL,nylon,white,short,low
2619,XXL,polyester,blue,long,medium
2620,S,polyester,white,short,medium
2621,3XL,cotton,navy,long,low
2622,L,nylon,green,long,medium
2623,L,linen,orange,short,high
2624,L,cotton,green,short,high
2625,3XL,nylon,violet,short,medium
2626,XL,polyester,black,short,medium
2627,L,polyester,white,short,high
2628,XXL,linen,navy,long,high
2629,XXL,cotton,orange,short,medium
2630,S,nylon,navy,long,high
2631,M,polyester,yellow,short,high
2632,XXL,linen,orange,long,medium
2633,XL,cotton,cream,long,medium
2634,M,linen,blue,short,high
2635,XXL,polyester,cream,long,medium
2636,S,linen,black,short,medium
2637,XXL,polyester,white,long,low
2638,XL,cotton,red,long,medium
2639,S,polyester,white,long,medium
2640,L,nylon,blue,short,high
2641,S,polyester,black,short,medium
2642,XL,nylon,red,short,high
2643,S,nylon,navy,long,high
2644,XS,nylon,blue,short,high
2645,XL,cotton,black,short,medium
2646,S,linen,white,short,high
2647,M,silk,black,long,low
2648,L,nylon,red,short,high
2649,M,nylon,orange,short,high
2650,XS,nylon,blue,long,high
2651,S,nylon,blue,long,high
2652,XL,cotton,yellow,long,medium
2653,M,linen,white,long,high
2654,M,polyester,navy,long,medium
2655,S,polyester,cream,long,high
2656,L,nylon,navy,short,high
2657,M,linen,violet,long,medium
2658,L,nylon,white,long,high
2659,M,linen,white,long,high
2660,L,silk,yellow,long,low
2661,M,cotton,navy,long,medium
2662,XXL,cotton,blue,short,high
2663,3XL,cotton,red,long,low
2664,XL,cotton,black,long,medium
2665,XL,cotton,black,short,medium
2666,XL,nylon,cream,long,medium
2667,M,linen,white,long,high
2668,M,nylon,green,long,medium
2669,M,polyester,blue,long,medium
2670,L,nylon,black,short,high
2671,XS,cotton,orange,short,high
2672,M,nylon,navy,long,medium
2673,XL,silk,green,short,low
2674,S,linen,violet,long,high
2675,L,nylon,violet,long,medium
2676,XS,cotton,yellow,short,high
2677,L,nylon,white,long,high
2678,M,cotton,black,long,medium
2679,XL,nylon,cream,short,high
2680,S,nylon,blue,long,high
2681,XL,nylon,blue,long,medium
2682,S,cotton,cream,long,high
2683,M,cotton,black,short,medium
2684,M,cotton,white,long,high
2685,S,nylon,white,short,medium
2686,M,cotton,white,short,high
2687,XS,polyester,orange,long,medium
2688,L,nylon,cream,long,medium
2689,XXL,nylon,cream,short,high
2690,S,cotton,red,long,high
2691,XL,cotton,black,short,medium
2692,M,nylon,red,short,high
2693,XL,cotton,green,short,high
2694,S,cotton,navy,short,high
2695,XXL,nylon,cream,short,high
2696,L,nylon,black,long,high
2697,3XL,linen,navy,short,high
2698,XL,nylon,blue,long,medium
2699,XL,polyester,red,short,high
2700,XL,nylon,green,long,medium
2701,L,cotton,black,short,medium
2702,M,linen,white,short,high
2703,XS,silk,white,short,low
2704,XS,cotton,violet,long,medium
2705,M,polyester,orange,long,medium
2706,XXL,polyester,white,short,low
2707,S,nylon,white,short,medium
2708,XL,cotton,cream,long,medium
2709,M,cotton,black,long,medium
2710,S,nylon,blue,short,high
2711,L,nylon,blue,long,medium
2712,XXL,nylon,white,short,low
2713,XXL,linen,white,short,medium
2714,XXL,linen,white,short,medium
2715,3XL,polyester,red,long,medium
2716,XL,cotton,white,short,medium
2717,3XL,polyester,orange,long,low
2718,XL,polyester,blue,short,high
2719,L,nylon,navy,long,medium
2720,L,cotton,cream,long,medium
2721,L,cotton,black,long,medium
2722,3XL,polyester,navy,long,medium
2723,M,polyester,yellow,long,medium
2724,S,cotton,red,long,high
2725,L,polyester,violet,short,high
2726,XXL,cotton,white,long,medium
2727,S,cotton,navy,long,high
2728,3XL,linen,cream,short,high
2729,XXL,silk,red,long,low
2730,M,nylon,cream,long,medium
2731,L,polyester,orange,long,medium
2732,XXL,linen,yellow,long,medium
2733,S,polyester,yellow,long,high
2734,M,cotton,violet,short,high
2735,L,linen,white,long,high
2736,XXL,cotton,white,long,medium
2737,XL,linen,blue,long,high
2738,XS,nylon,black,short,medium
2739,M,polyester,white,short,medium
2740,M,linen,navy,long,high
2741,XL,nylon,violet,long,medium
2742,XL,polyester,white,short,low
2743,XL,polyester,green,short,high
2744,XXL,cotton,blue,long,medium
2745,M,cotton,orange,short,high
2746,XS,polyester,black,short,medium
2747,M,linen,yellow,long,medium
2748,L,polyester,cream,short,high
2749,M,nylon,black,short,medium
2750,XL,nylon,red,long,medium
2751,3XL,polyester,cream,short,high
2752,S,cotton,cream,short,high
2753,S,silk,yellow,short,medium
2754,XS,cotton,black,short,medium
2755,S,cotton,violet,long,medium
2756,XL,polyester,white,short,low
2757,L,linen,orange,short,high
2758,L,cotton,violet,long,medium
2759,XL,nylon,white,long,low
2760,M,polyester,white,short,medium
2761,XXL,polyester,white,short,low
2762,L,cotton,cream,long,medium
2763,XL,cotton,red,short,high
2764,XXL,cotton,navy,long,medium
2765,M,nylon,blue,long,medium
2766,L,polyester,orange,short,high
2767,XS,nylon,white,long,medium
2768,M,cotton,black,short,medium
2769,S,nylon,white,long,medium
2770,XL,linen,red,short,high
2771,XL,nylon,black,short,medium
2772,S,linen,white,short,high
2773,XXL,nylon,violet,short,high
2774,L,silk,orange,long,low
2775,S,silk,blue,short,medium
2776,XXL,linen,cream,long,high
2777,XS,cotton,cream,short,high
2778,L,cotton,black,long,medium
2779,XL,polyester,violet,short,high
2780,XS,nylon,blue,long,high
2781,XL,linen,navy,long,high
2782,S,polyester,blue,long,high
2783,XXL,polyester,cream,short,high
2784,L,linen,navy,long,high
2785,XL,cotton,white,short,medium
2786,M,polyester,cream,long,medium
2787,L,nylon,navy,short,high
2788,L,cotton,cream,short,high
2789,S,polyester,orange,long,high
2790,M,nylon,orange,long,medium
2791,XS,nylon,navy,short,high
2792,XS,nylon,violet,long,medium
2793,M,linen,black,short,medium
2794,XS,nylon,red,short,high
2795,XS,nylon,cream,short,high
2796,3XL,nylon,black,short,medium
2797,L,nylon,red,short,high
2798,L,nylon,cream,short,high
2799,S,nylon,navy,short,high
2800,S,polyester,black,short,medium
2801,L,cotton,black,short,medium
2802,M,polyester,green,short,high
2803,M,nylon,blue,short,high
2804,XS,polyester,white,short,medium
2805,L,nylon,red,short,high
2806,L,nylon,black,short,high
2807,L,polyester,white,long,high
2808,XXL,linen,navy,long,high
2809,L,nylon,violet,short,high
2810,S,polyester,violet,short,high
2811,XS,cotton,white,long,high
2812,M,nylon,blue,short,high
2813,XS,nylon,blue,long,high
2814,XXL,polyester,white,long,low
2815,S,polyester,navy,short,high
2816,3XL,nylon,navy,short,high
2817,XXL,polyester,white,long,low
2818,L,cotton,black,long,medium
2819,XS,cotton,red,long,medium
2820,XL,nylon,blue,short,high
2821,XXL,linen,violet,long,medium
2822,L,linen,white,short,high
2823,XL,polyester,orange,long,medium
2824,L,polyester,navy,short,high
2825,L,polyester,blue,long,medium
2826,L,linen,black,long,medium
2827,XS,nylon,white,long,medium
2828,XL,nylon,black,long,medium
2829,M,polyester,red,short,high
2830,S,polyester,cream,long,high
2831,M,nylon,white,short,medium
2832,L,nylon,black,short,high
2833,S,nylon,violet,long,high
2834,XXL,polyester,black,long,medium
2835,L,polyester,white,short,high
2836,3XL,nylon,red,long,medium
2837,S,polyester,black,long,medium
2838,L,linen,cream,short,high
2839,XXL,polyester,cream,short,high
2840,XL,cotton,red,short,high
2841,XXL,cotton,black,short,medium
2842,XL,nylon,navy,long,medium
2843,S,polyester,white,short,medium
2844,XXL,nylon,blue,short,high
2845,M,cotton,white,short,high
2846,M,cotton,red,short,high
2847,3XL,polyester,navy,short,high
2848,S,nylon,yellow,short,high
2849,M,polyester,red,long,medium
2850,XL,polyester,violet,long,medium
2851,XXL,linen,navy,short,high
2852,XL,polyester,green,short,high
2853,XL,linen,red,long,high
2854,XL,polyester,blue,short,high
2855,S,cotton,white,long,high
2856,XL,cotton,violet,short,high
2857,L,linen,cream,long,high
2858,XL,cotton,red,long,medium
2859,XL,linen,blue,short,high
2860,L,nylon,white,short,high
2861,M,nylon,blue,short,high
2862,XL,nylon,navy,long,medium
2863,XL,linen,red,short,high
2864,XS,nylon,white,short,medium
2865,XXL,cotton,orange,short,medium
2866,S,polyester,blue,long,high
2867,XL,nylon,cream,short,high
2868,XL,nylon,cream,short,high
2869,XL,cotton,navy,long,medium
2870,XL,nylon,black,long,medium
2871,XXL,linen,green,short,high
2872,XXL,cotton,red,short,high
2873,M,polyester,cream,short,high
2874,M,silk,violet,short,low
2875,L,nylon,navy,long,medium
2876,XXL,linen,black,short,medium
2877,XL,silk,white,long,low
2878,XXL,nylon,white,short,low
2879,XXL,nylon,white,short,low
2880,L,cotton,cream,short,high
2881,XS,linen,blue,long,high
2882,L,linen,white,long,high
2883,L,silk,cream,short,low
2884,L,cotton,navy,long,medium
2885,XL,cotton,black,short,medium
2886,M,nylon,blue,short,high
2887,XL,nylon,blue,long,medium
2888,L,nylon,black,short,high
2889,L,nylon,blue,short,high
2890,XL,cotton,blue,short,high
2891,3XL,polyester,red,short,high
2892,L,polyester,navy,long,medium
2893,L,silk,blue,long,low
2894,3XL,polyester,white,long,low
2895,M,cotton,blue,short,high
2896,S,polyester,red,short,high
2897,L,nylon,navy,short,high
2898,M,polyester,green,short,high
2899,XXL,polyester,navy,short,high
2900,XL,polyester,yellow,short,high
2901,L,linen,yellow,short,high
2902,3XL,cotton,yellow,long,low
2903,S,polyester,black,short,medium
2904,M,linen,cream,long,high
2905,XXL,linen,orange,long,medium
2906,3XL,cotton,white,short,medium
2907,M,nylon,white,long,medium
2908,S,cotton,blue,long,high
2909,XXL,polyester,white,short,low
2910,S,polyester,black,short,medium
2911,XL,nylon,orange,short,high
2912,3XL,silk,black,short,low
2913,L,nylon,violet,long,medium
2914,M,silk,cream,short,low
2915,M,cotton,yellow,short,high
2916,M,silk,red,short,low
2917,XL,cotton,cream,short,high
2918,L,linen,navy,short,high
2919,S,nylon,orange,long,high
2920,XS,polyester,white,long,medium
2921,3XL,polyester,black,short,medium
2922,XS,nylon,black,long,medium
2923,S,nylon,yellow,long,high
2924,M,linen,yellow,short,high
2925,L,linen,white,short,high
2926,XS,linen,red,long,high
2927,XL,linen,black,short,medium
2928,XL,linen,navy,short,high
2929,S,cotton,cream,short,high
2930,XXL,polyester,blue,long,medium
2931,L,cotton,cream,short,high
2932,M,polyester,cream,long,medium
2933,M,nylon,orange,short,high
2934,XXL,cotton,yellow,short,medium
2935,L,polyester,black,short,high
2936,3XL,polyester,red,short,high
2937,3XL,cotton,navy,long,low
2938,XL,polyester,white,long,low
2939,XXL,nylon,navy,long,medium
2940,XXL,nylon,blue,long,medium
2941,XS,polyester,black,long,medium
2942,L,polyester,cream,short,high
2943,XS,polyester,cream,long,high
2944,L,cotton,orange,long,medium
2945,L,nylon,blue,long,medium
2946,M,cotton,orange,short,high
2947,XS,nylon,navy,short,high
2948,L,polyester,navy,long,medium
2949,XS,polyester,blue,long,high
2950,L,linen,blue,short,high
2951,XXL,cotton,red,short,high
2952,XXL,cotton,red,long,medium
2953,L,cotton,black,short,medium
2954,XS,cotton,white,long,high
2955,L,polyester,white,long,high
2956,XL,cotton,white,long,medium
2957,L,cotton,black,long,medium
2958,M,linen,white,long,high
2959,L,linen,white,short,high
2960,S,silk,black,long,low
2961,XXL,linen,red,long,medium
2962,3XL,polyester,green,long,low
2963,L,nylon,red,short,high
2964,3XL,polyester,yellow,short,medium
2965,XXL,linen,black,short,medium
2966,M,silk,black,short,low
2967,L,nylon,black,long,high
2968,M,linen,cream,long,high
2969,M,cotton,orange,long,medium
2970,XL,nylon,navy,short,high
2971,XS,linen,black,short,low
2972,S,linen,red,long,high
2973,L,linen,white,long,high
2974,XXL,linen,cream,long,high
2975,XXL,nylon,cream,long,medium
2976,M,polyester,violet,short,high
2977,M,polyester,violet,short,high
2978,XL,linen,orange,long,medium
2979,XS,linen,cream,long,high
2980,M,nylon,white,long,medium
2981,M,nylon,cream,short,high
2982,L,nylon,yellow,short,high
2983,L,polyester,black,short,high
2984,L,nylon,red,short,high
2985,XL,cotton,white,long,medium
2986,XS,cotton,white,short,high
2987,L,polyester,white,long,high
2988,L,polyester,black,short,high
2989,M,nylon,yellow,long,medium
2990,XXL,nylon,white,short,low
2991,L,polyester,red,long,medium
2992,M,silk,white,long,medium
2993,L,linen,navy,short,high
2994,XS,nylon,white,long,medium
2995,L,polyester,black,long,high
2996,S,polyester,red,short,high
2997,3XL,linen,cream,long,medium
2998,L,linen,black,short,medium
2999,S,polyester,black,long,medium
3000,XXL,linen,yellow,short,high
3001,M,nylon,orange,long,medium
3002,XS,silk,red,long,medium
3003,L,linen,white,long,high
3004,XXL,cotton,blue,short,high
3005,S,linen,violet,long,high
3006,3XL,cotton,red,long,low
3007,L,cotton,black,long,medium
3008,3XL,linen,white,short,medium
3009,XL,nylon,green,long,medium
3010,M,polyester,white,long,medium
3011,M,nylon,black,long,medium
3012,M,silk,white,long,medium
3013,L,cotton,green,long,medium
3014,XXL,polyester,white,short,low
3015,M,polyester,black,short,medium
3016,S,linen,green,long,high
3017,M,polyester,violet,long,medium
3018,S,cotton,green,short,high
3019,XS,cotton,black,short,medium
3020,L,polyester,black,long,high
3021,M,polyester,violet,short,high
3022,S,nylon,black,long,medium
3023,L,cotton,violet,long,medium
3024,S,polyester,navy,long,high
3025,S,nylon,red,long,high
3026,3XL,polyester,white,short,low
3027,M,cotton,violet,short,high
3028,XL,polyester,black,long,medium
3029,XXL,nylon,red,long,medium
3030,XXL,polyester,blue,long,medium
3031,3XL,linen,navy,short,high
3032,S,nylon,orange,short,high
3033,XL,silk,green,short,low
3034,S,cotton,navy,short,high
3035,3XL,linen,cream,long,medium
3036,XL,polyester,navy,long,medium
3037,L,nylon,black,short,high
3038,3XL,cotton,white,long,medium
3039,XL,cotton,white,short,medium
3040,L,nylon,blue,long,medium
3041,L,cotton,red,long,medium
3042,XXL,polyester,blue,short,high
3043,XXL,linen,yellow,long,medium
3044,S,cotton,black,short,medium
3045,XL,polyester,black,short,medium
3046,M,nylon,cream,long,medium
3047,XL,cotton,navy,short,high
3048,3XL,cotton,red,short,medium
3049,M,linen,yellow,short,high
3050,L,nylon,red,long,medium
3051,XXL,silk,violet,long,low
3052,XL,polyester,blue,short,high
3053,XL,linen,white,short,medium
3054,L,nylon,black,long,high
3055,XXL,cotton,cream,short,high
3056,XXL,nylon,black,long,medium
3057,L,linen,violet,short,high
3058,3XL,polyester,red,long,medium
3059,XL,cotton,blue,long,medium
3060,XL,linen,black,short,medium
3061,M,polyester,white,short,medium
3062,M,cotton,navy,long,medium
3063,L,linen,black,short,medium
3064,3XL,polyester,navy,long,medium
3065,S,nylon,red,short,high
3066,S,linen,cream,long,high
3067,XL,cotton,yellow,long,medium
3068,M,polyester,blue,short,high
3069,XS,linen,black,long,low
3070,XXL,cotton,black,short,medium
3071,L,nylon,navy,short,high
3072,L,cotton,navy,short,high
3073,M,linen,black,long,medium
3074,XS,cotton,white,long,high
3075,XL,cotton,red,long,medium
3076,XL,nylon,white,long,low
3077,XL,nylon,yellow,long,medium
3078,L,polyester,navy,long,medium
3079,XXL,nylon,navy,long,medium
3080,3XL,linen,black,short,low
3081,XL,cotton,black,long,medium
3082,XL,nylon,blue,short,high
3083,XXL,nylon,white,long,low
3084,3XL,linen,white,short,medium
3085,XXL,polyester,navy,short,high
3086,S,linen,blue,short,high
3087,M,silk,cream,short,low
3088,M,polyester,red,long,medium
3089,XS,linen,black,long,low
3090,S,polyester,red,long,high
3091,L,silk,black,long,medium
3092,3XL,polyester,black,long,medium
3093,L,nylon,black,short,high
3094,3XL,polyester,white,short,low
3095,M,polyester,yellow,short,high
3096,3XL,cotton,navy,short,high
3097,S,linen,cream,long,high
3098,S,cotton,cream,long,high
3099,L,linen,violet,long,high
3100,L,cotton,red,short,high
3101,XXL,nylon,white,long,low
3102,XS,polyester,violet,long,medium
3103,XL,polyester,white,long,low
3104,L,nylon,navy,long,medium
3105,XXL,nylon,blue,long,medium
3106,M,silk,cream,short,low
3107,XL,silk,violet,short,low
3108,XXL,polyester,blue,long,medium
3109,S,nylon,cream,short,high
3110,L,nylon,navy,short,high
3111,XXL,cotton,navy,long,medium
3112,XS,polyester,black,short,medium
3113,XL,polyester,blue,long,medium
3114,XL,cotton,navy,long,medium
3115,XL,polyester,navy,short,high
3116,L,cotton,orange,long,medium
3117,XS,polyester,violet,short,high
3118,XXL,nylon,white,short,low
3119,M,linen,navy,short,high
3120,M,nylon,orange,short,high
3121,L,nylon,cream,long,medium
3122,L,nylon,white,short,high
3123,XL,cotton,red,long,medium
3124,L,silk,orange,long,low
3125,XL,linen,navy,short,high
3126,M,cotton,orange,long,medium
3127,XL,nylon,orange,short,high
3128,L,cotton,green,long,medium
3129,M,polyester,black,long,medium
3130,XXL,polyester,black,long,medium
3131,M,nylon,black,long,medium
3132,XXL,linen,red,short,high
3133,XXL,polyester,orange,short,high
3134,XXL,nylon,cream,short,high
3135,S,polyester,red,long,high
3136,3XL,nylon,red,short,high
3137,XXL,polyester,orange,short,high
3138,S,polyester,black,long,medium
3139,XL,nylon,red,short,high
3140,XXL,nylon,yellow,long,medium
3141,3XL,linen,white,long,medium
3142,L,linen,cream,short,high
3143,L,nylon,black,long,high
3144,L,polyester,orange,long,medium
3145,L,nylon,cream,long,medium
3146,L,nylon,yellow,long,medium
3147,S,cotton,white,short,high
3148,S,cotton,red,short,high
3149,XS,polyester,black,short,medium
3150,3XL,polyester,white,long,low
3151,XL,nylon,orange,long,medium
3152,L,polyester,white,short,high
3153,M,cotton,orange,long,medium
3154,XL,cotton,black,long,medium
3155,L,polyester,white,long,high
3156,XL,cotton,black,long,medium
3157,3XL,nylon,red,short,high
3158,3XL,nylon,white,short,low
3159,S,silk,orange,short,medium
3160,S,cotton,red,long,high
3161,XL,linen,white,short,medium
3162,XL,cotton,red,long,medium
3163,XS,polyester,violet,long,medium
3164,XXL,nylon,blue,long,medium
3165,S,cotton,white,long,high
3166,L,polyester,blue,long,medium
3167,S,silk,orange,short,medium
3168,XXL,nylon,violet,long,medium
3169,XL,nylon,violet,long,medium
3170,XXL,linen,navy,long,high
3171,M,polyester,white,short,medium
3172,3XL,nylon,white,short,low
3173,L,polyester,red,long,medium
3174,S,nylon,black,short,medium
3175,M,polyester,yellow,short,high
3176,L,cotton,cream,short,high
3177,XL,linen,orange,long,medium
3178,XS,nylon,navy,short,high
3179,3XL,linen,black,long,low
3180,M,polyester,cream,long,medium
3181,XL,polyester,violet,long,medium
3182,S,silk,black,long,low
3183,M,nylon,navy,short,high
3184,XS,cotton,black,short,medium
3185,XL,nylon,yellow,long,medium
3186,XL,cotton,blue,short,high
3187,XL,linen,black,short,medium
3188,L,nylon,black,long,high
3189,L,cotton,blue,long,medium
3190,3XL,polyester,orange,long,low
3191,XL,cotton,red,long,medium
3192,L,nylon,blue,long,medium
3193,XL,polyester,white,long,low
3194,3XL,nylon,white,long,low
3195,L,polyester,black,long,high
3196,XXL,cotton,cream,short,high
3197,M,linen,white,long,high
3198,XXL,linen,green,short,high
3199,3XL,nylon,black,long,medium
3200,3XL,silk,blue,short,low
3201,XL,polyester,yellow,long,medium
3202,S,cotton,violet,long,medium
3203,XL,polyester,black,long,medium
3204,3XL,polyester,navy,short,high
3205,L,cotton,orange,short,high
3206,L,polyester,green,short,high
3207,L,nylon,navy,long,medium
3208,XL,polyester,black,short,medium
3209,L,linen,red,short,high
3210,L,linen,red,short,high
3211,L,nylon,orange,long,medium
3212,L,cotton,blue,short,high
3213,XS,nylon,white,long,medium
3214,3XL,polyester,violet,long,low
3215,L,cotton,violet,short,high
3216,3XL,nylon,white,short,low
3217,3XL,polyester,blue,long,medium
3218,L,nylon,white,long,high
3219,M,linen,cream,long,high
3220,XXL,polyester,blue,long,medium
3221,M,linen,blue,long,high
3222,S,polyester,cream,long,high
3223,L,nylon,navy,short,high
3224,M,nylon,black,short,medium
3225,XXL,polyester,yellow,short,high
3226,3XL,polyester,green,short,medium
3227,M,nylon,orange,short,high
3228,XL,cotton,red,long,medium
3229,L,cotton,yellow,long,medium
3230,L,nylon,cream,short,high
3231,M,polyester,black,long,medium
3232,S,nylon,red,short,high
3233,L,polyester,red,long,medium
3234,M,polyester,blue,short,high
3235,S,polyester,white,long,medium
3236,3XL,linen,navy,short,high
3237,XL,cotton,black,short,medium
3238,XXL,linen,black,long,medium
3239,L,nylon,white,long,high
3240,XL,nylon,blue,short,high
3241,S,cotton,white,long,high
3242,XXL,polyester,white,short,low
3243,L,linen,yellow,short,high
3244,XS,polyester,yellow,long,medium
3245,XXL,polyester,red,short,high
3246,3XL,nylon,navy,short,high
3247,M,cotton,red,long,medium
3248,3XL,cotton,white,short,medium
3249,L,cotton,blue,short,high
3250,L,cotton,white,long,high
3251,S,nylon,black,short,medium
3252,S,polyester,navy,long,high
3253,L,polyester,orange,long,medium
3254,3XL,linen,yellow,long,medium
3255,XS,nylon,violet,short,high
3256,S,polyester,green,short,high
3257,XS,cotton,black,short,medium
3258,S,nylon,black,short,medium
3259,3XL,linen,white,short,medium
3260,XXL,linen,yellow,long,medium
3261,S,linen,cream,short,high
3262,S,polyester,black,long,medium
3263,XL,cotton,violet,short,high
3264,M,nylon,yellow,long,medium
3265,XS,linen,violet,short,high
3266,L,polyester,violet,long,medium
3267,L,nylon,white,long,high
3268,L,nylon,black,short,high
3269,3XL,nylon,black,short,medium
3270,M,polyester,black,short,medium
3271,M,cotton,white,long,high
3272,S,linen,navy,long,high
3273,M,polyester,black,long,medium
3274,XS,linen,white,long,high
3275,XXL,polyester,black,long,medium
3276,XS,linen,black,long,low
3277,S,cotton,navy,short,high
3278,M,polyester,blue,short,high
3279,XS,linen,red,long,high
3280,S,nylon,red,short,high
3281,XXL,polyester,white,long,low
3282,S,cotton,blue,short,high
3283,XL,nylon,green,short,high
3284,M,polyester,white,short,medium
3285,L,polyester,black,long,high
3286,L,silk,yellow,short,low
3287,3XL,nylon,blue,long,medium
3288,XS,nylon,yellow,long,medium
3289,S,polyester,navy,short,high
3290,M,cotton,black,long,medium
3291,M,nylon,navy,short,high
3292,M,nylon,cream,long,medium
3293,XXL,nylon,black,long,medium
3294,XL,nylon,black,long,medium
3295,XL,polyester,cream,long,medium
3296,L,nylon,white,short,high
3297,L,nylon,yellow,long,medium
3298,XXL,nylon,blue,long,medium
3299,M,nylon,orange,long,medium
3300,XL,polyester,white,short,low
3301,S,nylon,orange,long,high
3302,L,polyester,black,short,high
3303,L,silk,white,short,low
3304,3XL,nylon,white,short,low
3305,XL,linen,navy,long,high
3306,L,polyester,blue,short,high
3307,XXL,silk,navy,long,low
3308,L,cotton,blue,long,medium
3309,XL,cotton,yellow,long,medium
3310,XL,cotton,cream,short,high
3311,L,nylon,red,short,high
3312,XL,polyester,green,long,medium
3313,XXL,linen,yellow,short,high
3314,L,cotton,white,long,high
3315,3XL,silk,orange,long,low
3316,M,polyester,blue,short,high
3317,L,linen,white,short,high
3318,XS,polyester,orange,short,high
3319,M,polyester,white,short,medium
3320,XXL,cotton,navy,short,high
3321,XXL,linen,navy,short,high
3322,XXL,polyester,navy,short,high
3323,L,cotton,yellow,long,medium
3324,S,silk,white,short,low
3325,M,linen,violet,long,medium
3326,L,cotton,violet,short,high
3327,XXL,polyester,white,long,low
3328,M,nylon,yellow,short,high
3329,XL,cotton,green,long,low
3330,L,polyester,yellow,short,high
3331,XXL,polyester,black,long,medium
3332,XXL,cotton,green,long,low
3333,XL,linen,white,long,medium
3334,XXL,linen,green,short,high
3335,S,linen,black,short,medium
3336,S,linen,navy,long,high
3337,M,silk,white,long,medium
3338,S,nylon,cream,short,high
3339,XS,cotton,white,long,high
3340,L,polyester,black,short,high
3341,3XL,cotton,black,long,medium
3342,XXL,linen,cream,short,high
3343,XXL,linen,navy,short,high
3344,L,nylon,red,long,medium
3345,L,cotton,orange,long,medium
3346,M,nylon,navy,short,high
3347,M,cotton,white,long,high
3348,3XL,linen,blue,long,medium
3349,M,silk,orange,short,low
3350,S,polyester,violet,long,high
3351,L,cotton,navy,short,high
3352,XL,linen,black,short,medium
3353,M,cotton,orange,short,high
3354,3XL,nylon,white,short,low
3355,3XL,nylon,blue,short,high
3356,M,cotton,violet,short,high
3357,XS,nylon,cream,long,high
3358,XL,polyester,orange,short,high
3359,S,cotton,yellow,short,high
3360,XXL,nylon,violet,short,high
3361,XS,polyester,green,short,high
3362,L,nylon,orange,long,medium
3363,L,nylon,yellow,long,medium
3364,XXL,nylon,green,short,high
3365,3XL,cotton,violet,long,low
3366,S,linen,blue,short,high
3367,3XL,linen,orange,short,high
3368,XL,polyester,violet,short,high
3369,L,nylon,white,long,high
3370,XL,cotton,black,long,medium
3371,XXL,linen,yellow,short,high
3372,3XL,polyester,blue,long,medium
3373,XS,cotton,green,long,medium
3374,L,polyester,blue,short,high
3375,XL,cotton,blue,short,high
3376,XL,linen,black,short,medium
3377,XXL,silk,red,long,low
3378,S,nylon,black,long,medium
3379,S,cotton,red,long,high
3380,M,cotton,violet,long,medium
3381,M,polyester,white,long,medium
